target_class_l3,molregno,molecule_chembl_id,canonical_smiles,max_pchembl_value,mean_pchembl_value,activity_records,unique_targets,target_names,target_chembl_ids,target_organisms,standard_types,unseen_class_id
Endoplasmic reticular retrotranslocon family,2136819,CHEMBL3927448,Nc1c(/N=N/c2ccc(-c3ccccc3-c3ccccc3)nc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+],6.94,6.94,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,2558471,CHEMBL4864700,CC#CC(=O)Nc1cccc2c1cc(C)n2-c1nc(NCc2cccc(B(O)O)c2)c2ccccc2n1,6.94,6.94,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2551865,CHEMBL4858094,Cc1cc2c(NS(C)(=O)=O)cccc2n1-c1nc2c(c(NCc3cccc(B(O)O)c3)n1)COCC2,6.93,6.93,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2571218,CHEMBL4877447,CC#CC(=O)Nc1cccc2c1cc(C)n2-c1nc2c(c(NCc3cccc(B(O)O)c3)n1)COCC2,6.93,6.93,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,612954,CHEMBL1081626,Oc1ccc(Nc2nc(-c3cccc(O)c3)cs2)cc1,6.92,6.8100000000000005,2,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,EC50; IC50,3
Endoplasmic reticular retrotranslocon family,613107,CHEMBL1081994,COc1ccccc1-c1cnc(Nc2ccc(O)cc2)o1,6.92,6.92,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2316148,CHEMBL4276697,CC(C)N1CCN(C(=O)CCNC2CCN(c3cccc(-c4cc5cc(F)ccc5[nH]4)c3)CC2)CC1,6.92,6.82,2,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2346197,CHEMBL4439188,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)CCCCCC2,6.92,6.92,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3148307,CHEMBL5931306,CC(C)N1CCN(CCNC2CCN(c3cccc(-c4cc5cc(Cl)ccc5[nH]4)c3)CC2)CC1,6.92,6.92,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1825374,CHEMBL3361188,NC(=O)[C@H]1CC[C@H](CNc2nc(NCc3ccccc3)cc(-c3ccccc3)n2)CC1,6.9,6.9,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2144022,CHEMBL3934651,CCCOc1ccccc1-c1ccc(/N=N/c2cc(S(=O)(=O)[O-])c3ccccc3c2N)cn1.[Na+],6.9,6.9,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,613174,CHEMBL1082184,Oc1ccc(Nc2ncc(-c3ccc(N4CCOCC4)cc3)o2)cc1,6.89,6.89,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2104268,CHEMBL3894897,CC(C)COc1ccccc1-c1ccc(/N=N/c2cc(S(=O)(=O)[O-])c3ccccc3c2N)cn1.[Na+],6.89,6.89,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,2327875,CHEMBL4288427,CC(C)(C)N1CCN(CCNC2CCN(c3cccc(-c4cc5ccccc5[nH]4)c3)CC2)CC1,6.89,6.785,2,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2400807,CHEMBL4530376,CC(=O)Nc1cccc2c1cc(C)n2-c1nc2c(c(NCc3ccccc3)n1)COCC2,6.89,6.89,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3027577,CHEMBL5810576,CN1CCC(NC2CCN(c3cccc(-c4cc5cc(C#N)ccc5[nH]4)c3)CC2)CC1,6.89,6.89,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3087049,CHEMBL5870048,CC(C)N1CCC(NC2CCN(c3cccc(-c4cc5ccccc5[nH]4)c3)CC2)CC1,6.89,6.89,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1825376,CHEMBL3361190,CS(=O)(=O)NC(=O)[C@H]1CC[C@H](CNc2nc(NCc3ccccc3)cc(-c3ccccc3)n2)CC1,6.88,6.88,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1514531,CHEMBL2315454,Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)cc(C)c1Cl,6.87,6.87,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1825399,CHEMBL3361213,NC(=O)[C@H]1CC[C@H](CNc2nc(NCc3ccccc3)cc(-c3cccc(CO)c3)n2)CC1,6.87,6.87,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2128102,CHEMBL3918731,CC(=O)c1ccc(-c2ccc(/N=N/c3cc(S(=O)(=O)[O-])c4ccccc4c3N)cn2)cc1.[Na+],6.87,6.87,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,2368471,CHEMBL4461462,Cc1cc2c(NS(=O)(=O)c3ccccc3)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,6.87,6.87,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2124894,CHEMBL3915523,CCCOc1ccc(F)cc1-c1ccc(/N=N/c2cc(S(=O)(=O)[O-])c3ccccc3c2N)cn1.[Na+],6.86,6.86,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,613109,CHEMBL1082173,Oc1ccc(Nc2ncc(-c3cccc(Cl)c3)o2)cc1,6.85,6.85,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1514521,CHEMBL2315444,Clc1ccc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)cc1,6.85,6.85,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1824844,CHEMBL3360663,O=C(O)[C@H]1CC[C@H](CNc2nc(-c3ccccc3)cc(-c3ccccc3F)n2)CC1,6.85,6.85,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3036591,CHEMBL5819590,CN1CCN(C2(CNC3CCN(c4cccc(-c5cc6ccccc6[nH]5)c4)CC3)CCC2)CC1,6.85,6.85,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3078027,CHEMBL5861026,Cc1ccc(N2CCC(NCCN3CCN(C(C)C)CC3)CC2)cc1-c1cc2ccccc2[nH]1,6.85,6.85,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3163784,CHEMBL5946783,C[C@@H]1CN(CCNC2CCN(c3cccc(-c4cc5ccccc5[nH]4)c3)CC2)C[C@H](C)N1C,6.85,6.85,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3180985,CHEMBL5963984,CC(C)N1CCN(C(=O)CCNC2CCN(c3cccc(-c4cc5ccccc5[nH]4)c3)CC2)CC1,6.85,6.85,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2030131,CHEMBL3696863,COc1cccc2c(NCc3ccccc3)nc(-n3c(OC)nc4ccccc43)nc12,6.84,6.84,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2056737,CHEMBL3746000,Cc1cc2c(C#N)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)CNCC2,6.84,6.84,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2142699,CHEMBL3933328,CC(C)Oc1ccccc1-c1ccc(/N=N/c2cc(S(=O)(=O)[O-])c3ccccc3c2N)cn1.[Na+],6.84,6.84,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,1825400,CHEMBL3352905,COc1cccc(-c2cc(NCc3ccccc3)nc(NC[C@H]3CC[C@H](C(N)=O)CC3)n2)c1,6.83,6.83,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2056726,CHEMBL3747075,Cc1[nH]c2ccccc2c1-c1nc2c(c(NCc3ccccc3)n1)CCCC2,6.83,6.83,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2108776,CHEMBL3899405,Cc1ccccc1-c1ccc(/N=N/c2cc(S(=O)(=O)[O-])c3ccccc3c2N)cn1.[Na+],6.83,6.83,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,1514532,CHEMBL2315455,Cc1ccc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)cc1Cl,6.82,6.82,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1825365,CHEMBL3361179,O=C(O)[C@H]1CC[C@H](CNc2nc(-c3ccccc3)cc(-c3ccc4[nH]ccc4c3)n2)CC1,6.82,6.82,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2030129,CHEMBL3696861,COc1cccc2c(NCc3ccccc3)nc(-n3c(C)nc4ccccc43)nc12,6.82,6.82,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2030185,CHEMBL3696917,NCc1cc2ccccc2n1-c1nc2c(c(NCc3ccccc3)n1)CCCC2,6.82,6.82,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2855401,CHEMBL5415233,Cc1cc(OCc2nnc(SC3C=CCCC3)n2-c2cccnc2)ccc1C#CCNC(=O)OC(C)(C)C,6.82,6.82,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2968059,CHEMBL5751058,COC(=O)c1ccc2[nH]c(-c3cccc(N4CCC(NCCN5CCN(C(C)C)CC5)CC4)c3)cc2c1,6.82,6.82,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3000149,CHEMBL5783148,CC(C)N1CCCN(CCNC2CCN(c3cccc(-c4cc5ccccc5[nH]4)c3)CC2)CC1,6.82,6.82,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3106893,CHEMBL5889892,CC(C)N1CCN(C(=O)CCNC2CCN(c3cccc(-c4cc5cc(C#N)ccc5[nH]4)c3)CC2)CC1,6.82,6.82,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3249100,CHEMBL6032099,CN1CCN(C(=O)CCNC2CCN(c3cccc(-c4cc5cc(F)ccc5[nH]4)c3)CC2)CC1,6.82,6.82,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2779083,CHEMBL5207852,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3cccc(N)c3)n1)CCC2,6.81,6.81,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,3044080,CHEMBL5827079,N#Cc1ccc2[nH]c(-c3cccc(N4CCC(NCc5cccc(N=[N+]=[N-])c5)CC4)c3)cc2c1,6.8,6.8,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1514512,CHEMBL2315435,O=[N+]([O-])c1ccc(-c2ccc(OCc3nnc(SC4CCCC4)n3-c3cccnc3)cc2)cc1,6.79,6.79,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2146430,CHEMBL3937059,CCCCOc1c(C=O)cc(C)cc1-c1ccc(/N=N/c2cc(S(=O)(=O)[O-])c3ccccc3c2N)cn1.[Na+],6.79,6.79,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,2452092,CHEMBL4581661,Cc1cc2c(C(N)=O)cccc2n1-c1nccc(NCc2ccccc2)n1,6.79,6.79,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2541273,CHEMBL4847502,Cc1cc2c(NC(=O)c3ccco3)cccc2n1-c1nc(NCc2cccc(B(O)O)c2)c2ccccc2n1,6.79,6.79,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1514522,CHEMBL2315445,Brc1ccc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)cc1,6.78,6.78,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2572290,CHEMBL4878519,C/C=C/C(=O)Nc1cccc2c1cc(C)n2-c1nc2c(c(NCc3cccc(B(O)O)c3)n1)CCC2,6.78,6.78,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,613110,CHEMBL1082174,COc1cccc(-c2cnc(Nc3ccc(O)cc3)o2)c1,6.77,6.77,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2144534,CHEMBL3935163,Nc1c(/N=N/c2ccc(-c3ccccc3C(F)(F)F)nc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+],6.77,6.77,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,3022609,CHEMBL5805608,c1cc(-c2cc3ccccc3[nH]2)cc(N2CCC(NCCN3CCN(CC4CC4)CC3)CC2)c1,6.77,6.77,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,1514513,CHEMBL2315436,COc1ccc(-c2ccc(OCc3nnc(SC4CCCC4)n3-c3cccnc3)cc2)cc1,6.76,6.76,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2317627,CHEMBL4278176,CC(C)N1CCC(N[C@H]2CC[C@H](c3cccc(-c4cc5cc(F)ccc5[nH]4)c3)CC2)CC1,6.76,6.755,2,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2852524,CHEMBL5412356,O=C(C#Cc1ccccc1)Nc1cc(-c2nccs2)ccc1F,6.76,6.76,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,612955,CHEMBL1081627,N#Cc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,6.75,6.75,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2030141,CHEMBL3696873,COc1nc2ccccc2n1-c1nc(NCc2ccccc2)c2ncsc2n1,6.75,6.75,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
Endoplasmic reticular retrotranslocon family,2140784,CHEMBL3931413,CC(=O)c1ccccc1-c1ccc(/N=N/c2cc(S(=O)(=O)[O-])c3ccccc3c2N)cn1.[Na+],6.75,6.75,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,2155113,CHEMBL3945742,Nc1c(/N=N/c2ccc(-c3ccc(Cl)cc3Cl)nc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+],6.75,6.75,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL3988606,Mus musculus,IC50,3
Endoplasmic reticular retrotranslocon family,3022442,CHEMBL5805441,CN1CCC(NC2CCN(c3cccc(-c4cc5cc(F)ccc5[nH]4)c3)CC2)CC1,6.75,6.75,1,1,Transitional endoplasmic reticulum ATPase,CHEMBL1075145,Homo sapiens,IC50,3
