target_class_l4,activity_records,unique_molecules,unique_targets,mean_pchembl,median_pchembl,min_pchembl,max_pchembl
ABCC subfamily,700,521,12,6.0305285714285715,5.975,5.0,9.42
SLC16 family of monocarboxylate transporters,1009,472,5,7.355827552031714,7.35,5.0,10.1
Phosphodiesterase 3B,502,472,2,6.827111553784861,6.77,5.0,10.31
SLC10 family of sodium-bile acid co-transporters,500,440,5,7.08568,7.245,5.0,9.7
HDAC class IV,545,399,1,6.4988990825688076,6.2,5.0,10.15
Phosphodiesterase 7B,388,387,1,7.2045103092783505,7.26,5.0,8.32
SLC40 iron transporter,725,372,2,6.183199999999999,6.04,5.0,8.96
Calcium-activated potassium channel,451,367,9,6.772638580931264,6.7,5.0,10.85
SLC08 family of sodium/calcium exchangers,385,355,2,6.278441558441558,6.3,5.0,7.16
Calcium-activated chloride channel,595,320,3,6.383781512605042,6.39,5.05,8.0
Kainate receptor,643,319,10,6.413094867807154,6.17,5.0,10.09
GNAT family,378,290,2,6.312354497354498,6.26,5.0,8.9
PWWP domain,512,277,7,6.3285546875,6.22,5.0,9.5
TKL protein kinase group,318,272,3,6.278050314465409,6.0,5.0,9.52
Phosphodiesterase 4C,343,259,1,6.941107871720117,6.9,5.06,10.6
SLC21/SLCO family of organic anion transporting polypeptides,499,212,13,5.901743486973947,5.75,5.0,8.96
Nuclear hormone receptor subfamily 1 group F,230,186,2,6.065347826086956,5.89,5.0,9.82
SRC family,226,179,3,5.391902654867256,5.295,5.0,8.0
Phosphodiesterase 11A,217,177,1,6.374562211981567,6.22,5.0,9.15
Phosphodiesterase 6D,188,171,1,7.467446808510639,7.46,5.14,10.11
Chemokine receptor-like,164,153,1,7.103719512195122,7.18,5.08,8.4
SLC01 family of amino acid transporters,564,148,7,6.200496453900709,5.8149999999999995,5.0,10.7
SLC33 acetylCoA transporter,152,145,1,8.690460526315789,8.7,5.82,9.1
Phosphodiesterase 8B,132,131,1,7.255833333333333,7.2,5.25,9.92
Presenilin ER Ca2+ leak channel family,145,111,2,6.882689655172414,6.93,5.0,9.94
SLC14 family of facilitative urea transporters,142,103,4,6.055352112676056,5.975,5.0,7.96
SLC26 family of anion exchangers,135,99,4,6.074592592592592,6.0,5.0,7.64
MBT domain,261,95,4,6.048467432950192,5.92,5.0,7.62
Type A influenza virus matrix-2 channel family,122,94,2,5.79327868852459,5.67,5.0,8.1
Receptor guanylate cyclase,117,90,3,6.990427350427351,6.7,5.0,10.37
Phosphodiesterase 6A,80,79,3,6.867875,7.029999999999999,5.1,8.33
SLC27 family of fatty acid transporters,109,77,4,6.129174311926606,6.19,5.02,7.58
CK1 protein kinase group,147,74,2,6.238027210884354,6.01,5.02,8.85
Calcium ATPase,88,60,5,7.102386363636364,7.6,5.0,10.0
MYST family,108,57,2,5.958981481481482,5.965,5.0,7.77
SLC12 family of cation-coupled chloride transporters,60,54,3,6.1145000000000005,6.1,5.0,7.3
Hydrogen potassium ATPase,48,45,3,6.105208333333334,6.075,5.01,7.58
SLC47 family of multidrug and toxin extrusion transporters,79,43,3,5.775063291139241,5.68,5.0,7.52
SLC11 family of proton-coupled metal ion transporters,44,42,1,6.234090909090909,6.265000000000001,5.16,7.22
SLC46 family of folate transporters,95,37,1,7.008421052631578,7.0,5.14,8.82
Sodium potassium ATPase,44,37,5,6.350227272727272,6.3,5.01,8.17
Phosphodiesterase 6C,41,37,2,7.626341463414635,7.48,5.48,9.89
Phosphodiesterase 8A,39,36,1,6.874871794871795,6.6,5.08,9.15
SLC15 family of peptide transporters,66,35,3,5.4771212121212125,5.36,5.0,6.75
Protein phosphatase regulatory subunit,60,33,11,7.392666666666667,6.58,5.03,10.52
Nicotinic acetylcholine receptor epsilon subunit,35,33,2,6.8908571428571435,7.09,5.0,8.64
SLC13 family of sodium-dependent sulphate/carboxylate transporters,56,31,5,6.513928571428571,6.505,5.0,7.66
Atypical protein kinase group,38,30,1,6.148421052631579,6.105,5.12,7.18
AGC protein kinase group,29,29,1,5.88551724137931,5.85,5.03,6.85
Nicotinic acetylcholine receptor beta subunit,44,27,2,7.656136363636364,7.890000000000001,5.3,10.66
SLC19 family of vitamin transporters,41,27,2,6.869268292682927,6.86,5.12,9.16
CAMK protein kinase group,31,21,2,6.315806451612903,6.24,5.01,8.43
ABCA subfamily,21,21,1,5.915238095238095,6.05,5.02,6.52
Ca2+ release-activated Ca2+ channel family,20,19,2,6.636,6.66,5.55,7.58
ClC chloride channel,17,14,1,5.842941176470588,5.69,5.01,8.7
Nuclear hormone receptor subfamily 1 group H,14,14,1,6.715714285714285,6.65,5.53,7.92
Cytochrome P450 family 2A,18,13,1,5.638888888888889,5.47,5.0,7.4
SLC37 family of phosphosugar/phosphate exchangers,13,12,1,6.681538461538461,6.48,5.3,8.7
V-type ATPase,20,9,5,6.371,6.395,5.0,7.68
Nicotinic acetylcholine receptor delta subunit,13,9,2,6.089230769230769,5.82,5.01,10.0
Serine protease unclassified,9,7,2,6.303333333333334,6.23,5.09,8.0
SLC25 family of mitochondrial transporters,13,6,5,6.194615384615385,6.3,5.09,8.22
WDR domain,5,4,3,6.76,7.1,5.0,8.27
Water-specific aquaporin,4,4,1,5.325,5.36,5.01,5.57
SLC17 phosphate and organic anion transporter family,3,3,1,6.546666666666667,6.72,5.52,7.4
F-type ATPase,4,2,2,5.82,5.795,5.64,6.05
SLC20 family of sodium-dependent phosphate transporters,3,2,2,5.433333333333334,5.27,5.21,5.82
Serine protein phosphatase,3,2,2,5.390000000000001,5.28,5.0,5.89
Cytochrome P450 family 4F,2,2,1,6.305,6.305,5.8,6.81
Voltage-dependent anion-selective channel,2,2,1,6.25,6.25,5.5,7.0
TK protein kinase group,1,1,1,7.37,7.37,7.37,7.37
