target_class_l4,activity_records,unique_molecules,unique_targets,mean_pchembl,median_pchembl,min_pchembl,max_pchembl
SLC06 neurotransmitter transporter family,30891,12732,36,6.943288983846428,6.89,5.0,11.0
HDAC class I,19416,9194,11,6.70135918829831,6.59,5.0,10.52
Voltage-gated potassium channel,11693,9107,31,6.136727101684769,5.8,5.0,10.99
Phosphodiesterase 10A,8245,6423,3,7.6903917525773196,7.71,5.0,11.0
HDAC class IIb,8965,6149,4,7.173750139431121,7.28,5.0,10.3
Tyrosine protein phosphatase,8388,5316,29,6.175860753457321,5.9,5.0,10.77
Bcl-2 family,8820,3997,5,7.901853741496599,7.82,5.0,11.0
Lysine-specific demethylase,5470,3493,3,6.915493601462523,6.77,5.0,10.3
NMDA receptor,3841,3184,13,6.791460557146577,6.9,5.0,9.22
p300/CBP family,3960,3152,2,6.834138888888889,6.82,5.0,10.3
Nicotinic acetylcholine receptor alpha subunit,3810,2750,16,6.655419947506562,6.52,5.0,11.0
Phosphodiesterase 2A,3669,2582,3,7.443701281002998,7.5,5.0,10.8
Phosphodiesterase 4B,2867,2327,3,7.163446110917334,7.05,5.0,11.0
Phosphodiesterase 5A,2850,2304,4,7.400154385964912,7.46,5.0,11.0
ABCB subfamily,3258,2120,7,6.250070595457336,6.04,5.0,10.99
SLC05 family of sodium-dependent glucose transporters,4284,2106,9,7.492675070028011,7.61,5.0,9.8
N-formyl methionyl peptide receptor,2860,2104,2,7.357444055944057,7.47,5.0,11.0
SET domain,2199,1810,10,6.7395270577535245,6.49,5.0,9.48
Protein arginine methyltransferase,2524,1784,9,6.770590332805072,6.9,5.0,10.7
Jumonji domain-containing,3611,1763,14,6.694885073386874,6.26,5.0,10.8
Inwardly rectifying potassium channel,2158,1645,6,6.972854494902688,6.96,5.01,9.82
Lipid-like ligand receptor (family A GPCR),2183,1632,4,7.056985799358681,7.06,5.03,9.7
Other protein kinase group,2323,1576,3,6.579931123547137,6.43,5.0,10.1
HDAC class IIa,3081,1558,7,6.551301525478741,6.5,5.0,10.1
CMGC protein kinase group,2648,1462,3,7.691046072507553,7.89,5.0,10.59
Phosphodiesterase 4D,1792,1264,3,6.787248883928571,6.57,5.0,10.7
Tudor domain,3109,1180,6,6.1043840463171435,6.26,5.0,9.26
ABCG subfamily,1934,1150,1,6.44887797311272,6.34,5.0,10.99
HDAC class III,1952,1088,7,5.949200819672131,5.73,5.0,11.0
STE protein kinase group,1218,1014,2,7.481888341543514,7.54,5.07,10.22
Serine/threonine protein phosphatase,1074,992,17,5.581964618249534,5.33,5.0,11.0
SLC22 family of organic cation and anion transporters,1349,975,19,6.200741289844329,6.17,5.0,9.0
Phosphodiesterase 4A,1112,891,3,7.34851618705036,7.4,5.0,10.5
Phosphodiesterase 1B,2482,868,1,7.776712328767123,7.89,5.0,10.38
Two-pore domain potassium channel,1795,866,10,6.466601671309192,6.42,5.0,9.0
Chromodomain,1052,858,12,7.240769961977186,7.5,5.0,8.75
Serine/threonine/tyrosine protein phosphatase,1264,824,17,5.607246835443038,5.48,5.0,7.75
Cystic fibrosis transmembrane conductance regulator,1155,804,3,6.606406926406926,6.51,5.0,10.3
SLC02 family of hexose and sugar alcohol transporters,1454,792,9,5.845502063273728,5.53,5.0,9.52
SLC09 family of sodium/hydrogen exchangers,1572,783,9,7.103078880407125,7.2,5.0,10.8
Phosphodiesterase 9A,1259,781,1,7.5054011119936455,7.44,5.0,11.0
SLC18 family of vesicular amine transporters,1027,727,8,6.888111002921129,6.75,5.0,10.89
Phosphodiesterase 1C,2100,696,1,7.269923809523809,7.33,5.0,9.85
AMPA receptor,1146,662,9,6.703830715532287,6.45,5.0,10.77
Phosphodiesterase 1A,2093,627,2,7.445246058289537,7.42,5.0,10.0
Phosphodiesterase 7A,654,619,2,6.848577981651377,7.08,5.0,9.49
Phosphodiesterase 3A,646,606,2,6.72952012383901,6.82,5.0,9.96
SLC34 family of sodium phosphate co-transporters,655,598,4,7.163343511450381,7.2,5.0,8.8
