split,samples,nearest_train_similarity_mean,nearest_train_similarity_std,nearest_train_similarity_min,nearest_train_similarity_q01,nearest_train_similarity_q05,nearest_train_similarity_q10,nearest_train_similarity_q25,nearest_train_similarity_median,nearest_train_similarity_q75,nearest_train_similarity_q90,nearest_train_similarity_q95,nearest_train_similarity_q99,nearest_train_similarity_max,nearest_same_class_similarity_mean,nearest_different_class_similarity_mean,similarity_margin_same_minus_different_mean,nearest_train_same_class_fraction,fraction_nearest_train_similarity_ge_0.30,fraction_nearest_train_similarity_ge_0.40,fraction_nearest_train_similarity_ge_0.50,fraction_nearest_train_similarity_ge_0.60,fraction_nearest_train_similarity_ge_0.70,fraction_nearest_train_similarity_ge_0.80,fraction_nearest_train_similarity_ge_0.85,fraction_nearest_train_similarity_ge_0.90,model_accuracy
test,7880,0.5098471921603881,0.17507355792132445,0.05882352963089943,0.19635503932833673,0.26084691733121873,0.2933333218097687,0.3513513505458832,0.5,0.6528486460447311,0.75,0.7916666865348816,0.8452979427576065,0.9324324131011963,0.4978223170399628,0.3099473415240456,0.18787497544594978,0.7851522842639594,0.8854060913705584,0.648984771573604,0.508248730964467,0.3600253807106599,0.16763959390862945,0.04479695431472081,0.009263959390862945,0.0019035532994923859,0.7491116751269036
validation,7844,0.5714563507128892,0.16829330001130408,0.1696428507566452,0.2432432472705841,0.2973455607891083,0.3294117748737335,0.43363454937934875,0.5862069129943848,0.701298713684082,0.7966101765632629,0.8358209133148193,0.8648648858070374,0.9841269850730896,0.5629483453325324,0.3193700452853319,0.24357829989712498,0.8620601733809281,0.9473482916879143,0.7975522692503825,0.6537480877103519,0.4770525242223355,0.2507649158592555,0.09637939826619071,0.027409484956654767,0.0017848036715961244,
