split,samples,nearest_train_similarity_mean,nearest_train_similarity_std,nearest_train_similarity_min,nearest_train_similarity_q01,nearest_train_similarity_q05,nearest_train_similarity_q10,nearest_train_similarity_q25,nearest_train_similarity_median,nearest_train_similarity_q75,nearest_train_similarity_q90,nearest_train_similarity_q95,nearest_train_similarity_q99,nearest_train_similarity_max,fraction_nearest_train_similarity_ge_0.30,fraction_nearest_train_similarity_ge_0.35,fraction_nearest_train_similarity_ge_0.40,fraction_nearest_train_similarity_ge_0.45,fraction_nearest_train_similarity_ge_0.50,fraction_nearest_train_similarity_ge_0.55,fraction_nearest_train_similarity_ge_0.60,fraction_nearest_train_similarity_ge_0.70,fraction_nearest_train_similarity_ge_0.75,fraction_nearest_train_similarity_ge_0.80,fraction_nearest_train_similarity_ge_0.85,fraction_nearest_train_similarity_ge_0.90
test,8323,0.43881393688733467,0.1413588412720751,0.05882352963089943,0.19615546375513077,0.25806450843811035,0.2857142984867096,0.3333333432674408,0.40909090638160706,0.523809552192688,0.6537435770034791,0.7123287916183472,0.8135095822811128,0.9230769276618958,0.862910008410429,0.6799231046497657,0.5267331491048901,0.40225880091313226,0.2955665024630542,0.21194280908326324,0.15114742280427731,0.058512555568905444,0.031959629941127,0.013937282229965157,0.0031238736032680524,0.0012014898474107894
validation,7401,0.6550264954063606,0.13209616205796962,0.17283950746059418,0.25806450843811035,0.38235294818878174,0.5,0.5866666436195374,0.6666666865348816,0.7460317611694336,0.8235294222831726,0.8428571224212646,0.8714285492897034,0.9841269850730896,0.9763545466828807,0.9587893527901635,0.9439264964194027,0.9264964194027834,0.9016349142007837,0.8388055668152953,0.7189568977165248,0.37846236995000676,0.242669909471693,0.13417105796513984,0.03540062153763005,0.0025672206458586676
