epoch,train_epoch_loss,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,train_macro_precision,val_macro_precision,train_macro_recall,val_macro_recall,learning_rate,epoch_time_seconds,total_elapsed_minutes,gpu_memory_allocated_mb,gpu_memory_reserved_mb,best_val_macro_f1,best_epoch,epochs_without_improvement
1,0.3537857228308492,0.033387636731885995,0.2268882436344848,0.9939149740975248,0.9446020807998919,0.993554138849591,0.860448521180831,0.9913539210685479,0.856689700758784,0.9939320416195357,0.9451308276257424,0.9892148759234278,0.8632309698565092,0.993554138849591,0.860448521180831,0.001,0.7740323543548584,0.01290053923924764,35.8232421875,68.0,0.856689700758784,1,0
2,0.03634173271903053,0.012589744443042061,0.20123649702748816,0.9978346078995697,0.9504121064720984,0.9969068209511698,0.8643736773245447,0.995616374561272,0.862574481243955,0.9978372983854246,0.9506382122507258,0.9943810161728899,0.8680291266200274,0.9969068209511698,0.8643736773245447,0.001,0.6779305934906006,0.024516109625498453,35.8232421875,68.0,0.862574481243955,2,0
3,0.02094472591567565,0.020250728352556088,0.21443571079346324,0.9975605076336924,0.9481151195784353,0.9954244763006834,0.8613644272331714,0.9944717177296187,0.8643254019897171,0.9975651174920926,0.9481165776847088,0.9935494035445849,0.8732784155342839,0.9954244763006834,0.8613644272331714,0.001,0.646359920501709,0.035572052001953125,35.8232421875,68.0,0.8643254019897171,3,0
4,0.015591854241988602,0.0032222208816393622,0.21345630140312333,0.9991502891757805,0.9536549114984462,0.9989602685981126,0.8519422539881039,0.9983279033720063,0.8649410849685211,0.9991508341613011,0.9530455212064128,0.9977033739503759,0.8916709740384355,0.9989602685981126,0.8519422539881039,0.001,0.6575155258178711,0.04679729541142782,35.8232421875,68.0,0.8649410849685211,4,0
5,0.00820921797154886,0.0022610085377529343,0.22628995075307767,0.9994243894416578,0.9543304958789353,0.999089808469175,0.8596614293556665,0.9986000880232027,0.8683322869079526,0.999424738620477,0.954054064480097,0.9981161324073411,0.8848466758063297,0.999089808469175,0.8596614293556665,0.001,0.6720046997070312,0.058280726273854576,35.8232421875,68.0,0.8683322869079526,5,0
6,0.006351294061342999,0.0029901121588198644,0.24065317235637862,0.999095469122605,0.9498716389677071,0.9991578172472408,0.8451487462473054,0.9986189777388847,0.8400946519163465,0.9990959449925623,0.9497793370242958,0.9980832830943254,0.8403761327209771,0.9991578172472408,0.8451487462473054,0.001,0.6432111263275146,0.06928424040476482,35.8232421875,68.0,0.8683322869079526,5,1
7,0.009257323928074225,0.0028795452821121946,0.2433990081723053,0.9991776992023682,0.9486555870828266,0.9991423731023363,0.8554659929108998,0.998289403190319,0.8560173493696219,0.9991785811128411,0.9489687747236469,0.9974417075482059,0.8641084684364745,0.9991423731023363,0.8554659929108998,0.001,0.6727111339569092,0.08052942752838135,35.8232421875,68.0,0.8683322869079526,5,2
8,0.00822963719101908,0.006745712941767895,0.24191822958506437,0.9990132390428419,0.9536549114984462,0.9973621684885875,0.8491812856350798,0.9977039931650032,0.8618948057310241,0.9990124908119874,0.9534052576768746,0.9980708075983887,0.8894369633468702,0.9973621684885875,0.8491812856350798,0.0005,0.6412370204925537,0.09123338063557943,35.8232421875,68.0,0.8683322869079526,5,3
9,0.006517997472136384,0.0011191485000501273,0.23095359934653303,0.9997258997341227,0.9559518983921091,0.9995559088503612,0.8564262022126126,0.999296992095169,0.8687282551606199,0.9997259777764969,0.9557647176261349,0.9990404677579755,0.8936851377703472,0.9995559088503612,0.8564262022126126,0.0005,0.6349472999572754,0.10184917449951172,35.8232421875,68.0,0.8687282551606199,9,0
10,0.00338891639358312,0.0009060101774993049,0.2411682862155587,0.9997807197872982,0.95527631401162,0.9996463693525709,0.8485169165624846,0.9994166985769816,0.8635577323960981,0.9997807819826424,0.9546360735243287,0.9991888314388381,0.8912286052489716,0.9996463693525709,0.8485169165624846,0.0005,0.6490457057952881,0.11293327411015829,35.8232421875,68.0,0.8687282551606199,9,1
