model_name,unseen_target_class_l3,molecule_class_pairs,unique_molecules,mean_max_pchembl_value,median_max_pchembl_value,mean_activity_records,mean_unique_targets,top1_softmax_mean_known_class,top1_softmax_mean_probability,top2_softmax_mean_known_class,top2_softmax_mean_probability,top3_softmax_mean_known_class,top3_softmax_mean_probability,mean_top1_softmax_probability,median_top1_softmax_probability,mean_softmax_entropy,fraction_confident_ge_0_50,fraction_confident_ge_0_70,fraction_confident_ge_0_90,top1_per_molecule_softmax_mode,top1_centroid_cosine_known_class,top1_centroid_cosine_similarity,top2_centroid_cosine_known_class,top2_centroid_cosine_similarity,top3_centroid_cosine_known_class,top3_centroid_cosine_similarity,top1_centroid_euclidean_known_class,top1_centroid_euclidean_distance,top2_centroid_euclidean_known_class,top2_centroid_euclidean_distance,top3_centroid_euclidean_known_class,top3_centroid_euclidean_distance,mean_nearest_centroid_cosine_similarity,top1_per_molecule_centroid_mode
v1_random,YEATS domain,145,145,6.774206896551724,6.75,2.0551724137931036,1.3517241379310345,Protein methyltransferase,0.27564236521720886,Voltage-gated calcium channel,0.1872577667236328,Bromodomain,0.16463306546211243,0.81440526,0.9106026,0.53444237,0.9103448275862069,0.6896551724137931,0.5172413793103449,Protein methyltransferase,Voltage-gated calcium channel,0.6959454417228699,Protein methyltransferase,0.6724737882614136,5HT3 receptor,0.559273362159729,Bromodomain,8.080021858215332,Voltage-gated sodium channel,8.57347297668457,P2X receptor,8.91425609588623,0.794291,Protein methyltransferase
v2_scaffold,Aspartic protease,241,241,7.147800829875518,7.02,1.045643153526971,1.012448132780083,Voltage-gated calcium channel,0.3321624994277954,Transient receptor potential channel,0.22577646374702454,P2X receptor,0.11950132995843887,0.8759128,0.9579093,0.3693553,0.966804979253112,0.8506224066390041,0.6348547717842323,Voltage-gated calcium channel,Voltage-gated calcium channel,0.8287389278411865,Transient receptor potential channel,0.6437417268753052,P2X receptor,0.4860873818397522,Transient receptor potential channel,8.007414817810059,Bromodomain,8.5524263381958,P2X receptor,8.986345291137695,0.8319175,Voltage-gated calcium channel
v2_scaffold,Cysteine protease,175,175,5.739199999999999,5.7,1.2514285714285713,1.0,Transient receptor potential channel,0.4804845452308655,Bromodomain,0.15054485201835632,P2X receptor,0.13917586207389832,0.87858135,0.97674567,0.36761013,0.9371428571428572,0.8114285714285714,0.6685714285714286,Transient receptor potential channel,Transient receptor potential channel,0.8214460611343384,Voltage-gated calcium channel,0.6295115947723389,P2X receptor,0.47797203063964844,Transient receptor potential channel,6.388160228729248,Bromodomain,7.920938968658447,Voltage-gated sodium channel,8.849736213684082,0.8258586,Transient receptor potential channel
v2_scaffold,DNA methyltransferase,293,293,5.534641638225256,5.36,1.2081911262798635,1.075085324232082,Protein methyltransferase,0.2676945626735687,Bromodomain,0.22287610173225403,Transient receptor potential channel,0.19589270651340485,0.8294469,0.9366278,0.49668562,0.8873720136518771,0.7406143344709898,0.5767918088737202,Protein methyltransferase,Protein methyltransferase,0.7756314277648926,Transient receptor potential channel,0.6273584961891174,Bromodomain,0.577010989189148,Bromodomain,7.049932956695557,Transient receptor potential channel,8.154397964477539,Protein methyltransferase,8.629877090454102,0.81337076,Protein methyltransferase
v2_scaffold,Endoplasmic reticular retrotranslocon family,591,591,6.500964467005075,6.52,1.1844331641285957,1.0,Bromodomain,0.28939202427864075,Transient receptor potential channel,0.19029811024665833,Voltage-gated calcium channel,0.1527823805809021,0.74678653,0.800988,0.72266185,0.8240270727580372,0.5972927241962775,0.38917089678510997,Bromodomain,Transient receptor potential channel,0.6381480693817139,Voltage-gated calcium channel,0.6347407698631287,5HT3 receptor,0.625141978263855,Bromodomain,6.687161922454834,Transient receptor potential channel,8.084360122680664,Voltage-gated sodium channel,8.782763481140137,0.7626391,Bromodomain
v2_scaffold,GABA-A receptor,939,939,7.722907348242811,7.79,1.4014909478168265,1.308839190628328,Voltage-gated sodium channel,0.47408679127693176,Transient receptor potential channel,0.15914861857891083,Bromodomain,0.14596034586429596,0.84109306,0.93483615,0.47656757,0.9265175718849841,0.7699680511182109,0.5537806176783813,Voltage-gated sodium channel,Voltage-gated sodium channel,0.7561874389648438,Transient receptor potential channel,0.5850998759269714,5HT3 receptor,0.5356950759887695,Voltage-gated sodium channel,6.275117874145508,Bromodomain,7.489645481109619,Transient receptor potential channel,8.485690116882324,0.79355025,Voltage-gated sodium channel
v2_scaffold,Protein kinase regulatory subunit,224,224,6.305357142857143,6.055,1.15625,1.1160714285714286,Protein Kinase,0.6147053837776184,Bromodomain,0.14975717663764954,Voltage-gated sodium channel,0.06276028603315353,0.86261094,0.9433737,0.40395525,0.9419642857142857,0.8169642857142857,0.6160714285714286,Protein Kinase,Protein Kinase,0.9153234958648682,Bromodomain,0.4541378617286682,P2X receptor,0.44067540764808655,Bromodomain,8.495658874511719,Protein Kinase,9.324731826782227,P2X receptor,9.596295356750488,0.8418666,Protein Kinase
v2_scaffold,Protein-glutamine glutamyl-transferase,471,471,6.299065817409765,6.32,1.683651804670913,1.443736730360934,Transient receptor potential channel,0.2923455238342285,Serine protease,0.2808842062950134,Bromodomain,0.13970749080181122,0.8214487,0.9102837,0.5320726,0.8959660297239915,0.732484076433121,0.5095541401273885,Transient receptor potential channel,Transient receptor potential channel,0.6833354830741882,Serine protease,0.6561111211776733,Plant homeodomain,0.5921586751937866,Bromodomain,7.3665618896484375,Transient receptor potential channel,7.719515800476074,Voltage-gated sodium channel,8.93529987335205,0.80439216,Serine protease
v2_scaffold,Ryanodine receptor,124,124,6.949193548387097,6.99,1.0806451612903225,1.032258064516129,Transient receptor potential channel,0.42684873938560486,Voltage-gated calcium channel,0.23563505709171295,Bromodomain,0.17266224324703217,0.8595727,0.95267475,0.44712093,0.9354838709677419,0.7983870967741935,0.5887096774193549,Transient receptor potential channel,Transient receptor potential channel,0.7882031798362732,Voltage-gated calcium channel,0.7471440434455872,5HT3 receptor,0.5590046644210815,Transient receptor potential channel,6.602348804473877,Bromodomain,8.236867904663086,Voltage-gated sodium channel,9.259201049804688,0.8248406,Transient receptor potential channel
v2_scaffold,Smoothened receptor (frizzled family GPCR),954,954,6.916320754716981,7.0,1.578616352201258,1.140461215932914,Transient receptor potential channel,0.3106890916824341,Voltage-gated calcium channel,0.15909214317798615,Bromodomain,0.13811638951301575,0.807847,0.88507104,0.5701672,0.8941299790356394,0.7169811320754716,0.4748427672955975,Transient receptor potential channel,Transient receptor potential channel,0.7401785254478455,Voltage-gated calcium channel,0.686542272567749,5HT3 receptor,0.6001446843147278,Transient receptor potential channel,7.198696136474609,Bromodomain,7.74798583984375,P2X receptor,8.40868854522705,0.79494596,Transient receptor potential channel
v2_scaffold,Taste receptor (taste family GPCR),477,477,6.229308176100628,6.16,1.2431865828092243,1.0566037735849056,Bromodomain,0.4819098114967346,Transient receptor potential channel,0.3156978189945221,P2X receptor,0.08204630017280579,0.8966497,0.9817646,0.32060826,0.9643605870020965,0.8616352201257862,0.6876310272536688,Bromodomain,Bromodomain,0.7067438960075378,Transient receptor potential channel,0.68470299243927,Voltage-gated calcium channel,0.5080143809318542,Bromodomain,6.003734111785889,Transient receptor potential channel,7.6738057136535645,P2X receptor,8.828656196594238,0.8206767,Bromodomain
