target_class_l1,activity_records,unique_molecules,unique_targets,mean_pchembl,median_pchembl,min_pchembl,max_pchembl
Enzyme,36541,26256,294,6.774925699898744,6.72,5.0,11.0
Unclassified protein,35563,22823,1552,6.668606697972612,6.54,5.0,11.0
Other cytosolic protein,20314,14588,126,6.830187063109187,6.7,5.0,11.0
Membrane receptor,14027,9659,82,7.16728167106295,7.17,5.0,11.0
Other nuclear protein,10325,8614,37,7.64222372881356,7.77,5.0,10.7
Transcription factor,7074,5605,89,6.044156064461408,5.8,5.0,11.0
Secreted protein,7577,4956,91,7.0529101227398705,7.05,5.0,11.0
Other membrane protein,3590,2974,11,7.247309192200557,7.23,5.0,10.96
Surface antigen,1496,1318,39,6.645173796791444,6.415,5.0,10.55
Structural protein,1065,868,31,6.202300469483568,5.92,5.0,10.3
Transporter,517,503,9,5.878143133462283,5.5,5.0,10.19
Adhesion,625,385,17,6.5876,6.44,5.0,9.17
Auxiliary transport protein,20,15,1,7.543000000000001,7.545,5.44,9.91
