unseen_target_class_l3,known_target_class_l3,unseen_molecules,known_molecules,mean_nearest_tanimoto,median_nearest_tanimoto,std_nearest_tanimoto,min_nearest_tanimoto,q25_nearest_tanimoto,q75_nearest_tanimoto,q90_nearest_tanimoto,max_nearest_tanimoto,fraction_ge_0.30,fraction_ge_0.40,fraction_ge_0.50,fraction_ge_0.60,fraction_ge_0.70,rank_by_median_nearest_tanimoto,rank_by_mean_nearest_tanimoto
Aspartic protease,Bromodomain,241,10663,0.2769556939601898,0.2613636255264282,0.04981975629925728,0.20000000298023224,0.23863635957241058,0.3052631616592407,0.3499999940395355,0.4523809552192688,0.2821576763485477,0.024896265560165973,0.0,0.0,0.0,4,2
Aspartic protease,P2X receptor,241,10307,0.2519260346889496,0.24369747936725616,0.033922530710697174,0.18867924809455872,0.22535210847854614,0.27272728085517883,0.29629629850387573,0.4032258093357086,0.0912863070539419,0.004149377593360996,0.0,0.0,0.0,6,6
Aspartic protease,Voltage-gated sodium channel,241,9469,0.2613827586174011,0.2626262605190277,0.029057763516902924,0.16455696523189545,0.24175824224948883,0.2769230902194977,0.29523810744285583,0.39080458879470825,0.07883817427385892,0.0,0.0,0.0,0.0,3,5
Aspartic protease,Transient receptor potential channel,241,8550,0.27872931957244873,0.2786885201931,0.04093916714191437,0.18309858441352844,0.25,0.3086419701576233,0.3239436745643616,0.48905110359191895,0.3029045643153527,0.008298755186721992,0.0,0.0,0.0,1,1
Aspartic protease,Protein methyltransferase,241,2591,0.23523671925067902,0.22522522509098053,0.03747063875198364,0.18125000596046448,0.20999999344348907,0.24271844327449799,0.2985074520111084,0.3881579041481018,0.0954356846473029,0.0,0.0,0.0,0.0,10,9
Aspartic protease,Serine protease,241,2529,0.26508015394210815,0.24786324799060822,0.06627583503723145,0.1666666716337204,0.23364485800266266,0.27000001072883606,0.3799999952316284,0.5199999809265137,0.13692946058091288,0.0954356846473029,0.004149377593360996,0.0,0.0,5,4
Aspartic protease,Voltage-gated calcium channel,241,2036,0.270322322845459,0.2689075767993927,0.037381816655397415,0.15584415197372437,0.25,0.2967033088207245,0.3163265287876129,0.4065040647983551,0.23236514522821577,0.004149377593360996,0.0,0.0,0.0,2,3
Aspartic protease,Plant homeodomain,241,2021,0.24569520354270935,0.2298850566148758,0.05166047811508179,0.16455696523189545,0.20560747385025024,0.2886597812175751,0.3125,0.4252873659133911,0.1908713692946058,0.012448132780082987,0.0,0.0,0.0,8,7
Aspartic protease,Protein Kinase,241,1582,0.21569573879241943,0.21739129722118378,0.02850516326725483,0.14141413569450378,0.19230769574642181,0.2330097109079361,0.2530120611190796,0.31460675597190857,0.008298755186721992,0.0,0.0,0.0,0.0,11,11
Aspartic protease,Pore-forming toxins (proteins and peptides),241,1394,0.24025656282901764,0.23469388484954834,0.03453877195715904,0.16346153616905212,0.21568627655506134,0.2637362778186798,0.28999999165534973,0.3733333349227905,0.04564315352697095,0.0,0.0,0.0,0.0,7,8
Aspartic protease,5HT3 receptor,241,1065,0.23447740077972412,0.22580644488334656,0.04593903198838234,0.1034482792019844,0.19708029925823212,0.2688172161579132,0.3009708821773529,0.3614457845687866,0.1037344398340249,0.0,0.0,0.0,0.0,9,10
Cysteine protease,Bromodomain,175,10663,0.3103945553302765,0.2982456088066101,0.055788908153772354,0.19540229439735413,0.27272728085517883,0.34375,0.37910136580467224,0.5,0.49142857142857144,0.08,0.005714285714285714,0.0,0.0,2,1
Cysteine protease,P2X receptor,175,10307,0.29791459441185,0.29729729890823364,0.06011525169014931,0.1627907007932663,0.2567567527294159,0.3279969096183777,0.3846224248409271,0.4444444477558136,0.4514285714285714,0.07428571428571429,0.0,0.0,0.0,3,4
Cysteine protease,Voltage-gated sodium channel,175,9469,0.28303349018096924,0.2769230902194977,0.058884747326374054,0.14666666090488434,0.24718531966209412,0.3087327480316162,0.3631093502044678,0.46268656849861145,0.34285714285714286,0.04,0.0,0.0,0.0,5,5
Cysteine protease,Transient receptor potential channel,175,8550,0.30690115690231323,0.30000001192092896,0.0676085576415062,0.16091954708099365,0.260869562625885,0.33867064118385315,0.4007982611656189,0.5161290168762207,0.5028571428571429,0.10285714285714286,0.017142857142857144,0.0,0.0,1,2
Cysteine protease,Protein methyltransferase,175,2591,0.23957009613513947,0.23333333432674408,0.049767185002565384,0.15662650763988495,0.20683728158473969,0.2623792290687561,0.30000001192092896,0.4166666567325592,0.10857142857142857,0.017142857142857144,0.0,0.0,0.0,9,8
Cysteine protease,Serine protease,175,2529,0.2561511993408203,0.234375,0.07739995419979095,0.14406779408454895,0.20445045828819275,0.2885724604129791,0.33615022897720337,0.5170068144798279,0.17714285714285713,0.08,0.017142857142857144,0.0,0.0,8,7
Cysteine protease,Voltage-gated calcium channel,175,2036,0.29866209626197815,0.28070175647735596,0.0730268806219101,0.12844036519527435,0.24602773785591125,0.3383484184741974,0.40630146861076355,0.5384615659713745,0.4057142857142857,0.12,0.017142857142857144,0.0,0.0,4,3
Cysteine protease,Plant homeodomain,175,2021,0.26196223497390747,0.2535211145877838,0.05556846782565117,0.15492957830429077,0.2243138551712036,0.28333333134651184,0.32840782403945923,0.4900662302970886,0.21714285714285714,0.03428571428571429,0.0,0.0,0.0,6,6
Cysteine protease,Protein Kinase,175,1582,0.22386348247528076,0.2199999988079071,0.03250281885266304,0.15189872682094574,0.20000000298023224,0.24460189044475555,0.26436781883239746,0.38235294818878174,0.017142857142857144,0.0,0.0,0.0,0.0,11,11
Cysteine protease,Pore-forming toxins (proteins and peptides),175,1394,0.23419703543186188,0.2278480976819992,0.04189501330256462,0.14444445073604584,0.20000000298023224,0.2636544108390808,0.28805896639823914,0.36206895112991333,0.09142857142857143,0.0,0.0,0.0,0.0,10,9
Cysteine protease,5HT3 receptor,175,1065,0.23312534391880035,0.2368421107530594,0.04190695658326149,0.1515151560306549,0.20144927501678467,0.2609062194824219,0.2870129942893982,0.35185185074806213,0.06285714285714286,0.0,0.0,0.0,0.0,7,10
