target_class_l5,activity_records,unique_molecules,unique_targets,mean_pchembl,median_pchembl,min_pchembl,max_pchembl
Serotonin receptor,51111,22531,49,7.310627653538377,7.28,5.0,11.0
Serine protease S1A subfamily,38625,21382,78,7.175313139158575,7.22,5.0,11.0
Tyrosine protein kinase JakB family,53658,18694,9,7.614673674009467,7.52,5.0,11.0
Opioid receptor,46258,15467,22,7.471655713606294,7.42,5.0,11.0
Dopamine receptor,39330,15396,22,7.173247393846936,7.08,5.0,11.0
Aspartic protease A1A subfamily,25420,13589,28,7.1462486231313935,7.14,5.0,11.0
Adenosine receptor,33283,13212,24,7.070565453835291,7.01,5.0,11.0
Cannabinoid receptor,22637,11383,6,7.19306224323011,7.19,5.0,12.46
Tyrosine protein kinase EGFR family,23051,11015,7,7.1821955663528705,7.21,5.0,11.0
Tyrosine protein kinase Tec family,20453,10731,8,7.596077348066299,7.52,5.0,10.85
Nuclear hormone receptor subfamily 1 group F member 3,17351,10556,2,7.1956452077690045,7.2,5.0,10.77
Tyrosine protein kinase PDGFR family,19890,10481,10,7.149445952740071,7.21,5.0,11.0
Tyrosine protein kinase VEGFR family,16345,10436,7,7.005762618537779,7.02,5.0,10.7
Metabotropic glutamate receptor,15359,8953,21,6.811847125463897,6.75,5.0,10.52
Orexin receptor,23702,8790,6,6.861878322504429,6.89,5.0,10.4
Histamine receptor,16106,8587,16,7.50838321122563,7.59,5.0,10.85
Prostanoid receptor,13974,8205,28,7.284760269071133,7.35,5.0,11.0
TKL protein kinase IRAK family,10391,7699,3,7.4273679145414295,7.68,5.0,10.66
Adrenergic receptor,20165,7190,41,7.289029506570791,7.19,5.0,11.0
CC chemokine receptor,10783,7103,29,7.299264583140128,7.32,5.0,11.0
Acetylcholine receptor,16408,6826,21,7.083169795221843,6.82,5.0,11.0
Tyrosine protein kinase Src family,13454,6777,19,6.776001932510778,6.63,5.0,11.0
Metallo protease M10A subfamily,18706,6762,29,7.159438148187748,7.14,5.0,11.0
TKL protein kinase RAF family,14349,6432,5,7.761896299393686,7.96,5.0,10.7
Cysteine protease C1A family,12957,6235,36,7.034599830207609,7.01,5.0,11.0
CMGC protein kinase GSK family,9560,5810,6,6.718569037656904,6.67,5.0,10.89
Tyrosine protein kinase FGFR family,15912,5521,8,7.424473981900452,7.57,5.0,10.0
CAMK protein kinase PIM family,13199,5407,4,7.874666262595651,7.85,5.0,11.0
Tyrosine protein kinase Syk family,7320,5334,4,7.189129781420765,7.24,5.0,11.0
CXC chemokine receptor,7580,5316,19,7.050345646437995,7.01,5.0,10.7
Tyrosine protein kinase Trk family,10415,4969,4,7.427230916946711,7.47,5.0,11.0
EDG receptor,9573,4931,21,7.1077833490024025,7.01,5.0,11.0
Serine protease S9B subfamily,7201,4636,9,7.164313289820859,7.19,5.0,10.52
Tyrosine protein kinase Met family,7847,4603,5,7.3833694405505295,7.5,5.0,10.72
Neuropeptide receptor,8219,4570,19,7.8460615646672345,7.96,5.0,11.0
Aspartic protease A2A subfamily,6155,4527,3,8.009073923639317,8.02,5.0,11.0
Neurokinin receptor,7301,4408,15,7.756757978359128,7.77,5.0,11.0
Other protein kinase AUR family,7193,4276,6,7.107768663978868,7.0,5.0,11.0
Tyrosine protein kinase Ret family,24732,4211,2,7.188775675238557,7.24,5.0,10.77
Nuclear hormone receptor subfamily 1 group C member 3,6503,4127,3,6.652072889435646,6.51,5.0,10.74
Nuclear hormone receptor subfamily 3 group A member 1,7318,4003,4,7.593950532932495,7.6,5.0,11.0
Tyrosine protein kinase Axl family,7483,3986,3,7.053036215421622,6.96,5.0,11.0
Melanocortin receptor,12037,3898,13,7.221754590014123,7.1,5.0,11.0
TKL protein kinase RIPK family,5402,3851,6,6.875194372454647,7.0,5.0,10.96
Cytochrome P450 3A4,4559,3745,1,5.888743145426629,5.68,5.0,10.66
Free fatty acid receptor,5921,3741,12,6.741482857625401,6.64,5.0,10.4
AGC protein kinase AKT family,8256,3698,5,7.110687984496123,7.1,5.0,10.7
MCH receptor,5233,3690,6,7.363552455570419,7.47,5.0,10.47
Atypical protein kinase PIKK family,6939,3666,4,6.890059086323678,6.5,5.0,10.4
Vasopressin and oxytocin receptor,6990,3440,15,7.392739628040057,7.39,5.0,11.0
Nuclear hormone receptor subfamily 3 group C member 4,6039,3378,3,6.923185957940056,6.82,5.0,11.0
TKL protein kinase LRRK family,5483,3366,2,7.372697428415101,7.38,5.0,10.22
Angiotensin receptor,5336,3342,10,7.672895427286357,7.72,5.0,10.9
