epoch,train_epoch_loss,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,train_macro_precision,val_macro_precision,train_macro_recall,val_macro_recall,learning_rate,epoch_time_seconds,total_elapsed_minutes,gpu_memory_allocated_mb,gpu_memory_reserved_mb,best_val_macro_f1,best_epoch,epochs_without_improvement
1,0.47317443662787906,0.06372756137139117,0.12310174486788125,0.9830615148861647,0.9707572468394841,0.9849496327799838,0.967572861382362,0.9764255852096533,0.9552701907670432,0.9831851824090453,0.9711124286858245,0.9685572130844288,0.9446011530415781,0.9849496327799838,0.967572861382362,0.001,0.8215160369873047,0.013691933949788411,35.8232421875,68.0,0.9552701907670432,1,0
2,0.08197607895956356,0.023186570893803483,0.0876412279337793,0.993760945709282,0.978929894010982,0.9946663443577513,0.9761650390515377,0.9909410840238077,0.9712466612334534,0.9937753195245558,0.9789843875901909,0.9873342843054708,0.9665966493325389,0.9946663443577513,0.9761650390515377,0.001,0.646186113357544,0.02484500010808309,35.8232421875,68.0,0.9712466612334534,2,0
3,0.03757697908002263,0.01196364250650626,0.09014360498208346,0.9969352014010507,0.979312986847146,0.9974453348091717,0.9765436864877127,0.9951967650249581,0.9722799231918745,0.9969407592024363,0.9793882051139192,0.993009696298057,0.9685539206759699,0.9974453348091717,0.9765436864877127,0.001,0.7120742797851562,0.036996241410573324,35.8232421875,68.0,0.9722799231918745,3,0
4,0.0261974554703018,0.006983074802218654,0.099305593688481,0.9983307793345009,0.9814838462520751,0.9984390106945398,0.9759067006695091,0.9972702199984741,0.9741924018254274,0.9983320333452373,0.981507157940632,0.9961117748950382,0.9727206235526832,0.9984390106945398,0.9759067006695091,0.001,0.6741304397583008,0.048548479874928795,35.8232421875,68.0,0.9741924018254274,4,0
5,0.016216283551565715,0.005909035864511208,0.10389408717330822,0.999124343257443,0.9821223343123484,0.9988373887173124,0.976095873329335,0.9985410231081695,0.9747035583547781,0.9991246198718533,0.982140610176984,0.9982465641309802,0.9735536984561267,0.9988373887173124,0.976095873329335,0.001,0.6911470890045166,0.06036770741144816,35.8232421875,68.0,0.9747035583547781,5,0
6,0.01181701118054746,0.004128596702463771,0.106244286968248,0.9990969789842382,0.9817392414761844,0.9990903603717757,0.9740924567941985,0.9985492715057976,0.9746730601268845,0.9990974441204364,0.9817414837182804,0.9980102423053041,0.9753771773030205,0.9990903603717757,0.9740924567941985,0.001,0.6991450786590576,0.07240105867385864,35.8232421875,68.0,0.9747035583547781,5,1
7,0.010912958417175869,0.004942919037120511,0.1113946101869786,0.9991790718038529,0.9818669390882391,0.9987633942783933,0.9752706306296475,0.9984900603688538,0.975378902946005,0.9991794048523236,0.9818706842952597,0.9982195532631565,0.975710494329661,0.9987633942783933,0.9752706306296475,0.001,0.7319564819335938,0.08463366826375325,35.8232421875,68.0,0.975378902946005,7,0
8,0.009930783681303993,0.003436961642112958,0.11392587584685646,0.9989601576182137,0.982250031924403,0.9990046513668634,0.9764458976181306,0.9982016307336525,0.97526440213303,0.9989612377546084,0.9822527785618342,0.9974053139195266,0.9743762784727976,0.9990046513668634,0.9764458976181306,0.0005,0.7225193977355957,0.09697566032409669,35.8232421875,68.0,0.975378902946005,7,1
9,0.006395353469589885,0.0013908542325524874,0.10960577510543716,0.9996716287215411,0.9827608223726216,0.9995401346209014,0.9761327925003223,0.9993502504219371,0.9764130823994394,0.9996717148824439,0.9827501244565359,0.9991609052038712,0.9768058963125944,0.9995401346209014,0.9761327925003223,0.0005,0.9480323791503906,0.11282620032628378,35.8232421875,68.0,0.9764130823994394,9,0
10,0.005252099477102076,0.0015321801167052613,0.10700012368042187,0.9996169001751314,0.9836547056570042,0.9994985847168804,0.977506974740817,0.9992265254038982,0.9768422886683734,0.9996170138258256,0.9836619425978198,0.9989565560951509,0.9762862187956746,0.9994985847168804,0.977506974740817,0.0005,1.1550166606903076,0.13240336974461872,35.8232421875,68.0,0.9768422886683734,10,0
