model_name,unseen_target_class_l3,unique_molecules,top1_softmax_mean_known_class,top1_softmax_mean_probability,softmax_class_tanimoto_rank,softmax_class_median_nearest_tanimoto,softmax_matches_direct_tanimoto_top1,top1_centroid_cosine_known_class,top1_centroid_cosine_similarity,centroid_class_tanimoto_rank,centroid_class_median_nearest_tanimoto,centroid_matches_direct_tanimoto_top1,mean_softmax_entropy
v3_cluster,Protein-glutamine glutamyl-transferase,471,Transient receptor potential channel,0.3503402471542358,1,0.31481480598449707,True,Transient receptor potential channel,0.7419604659080505,1,0.31481480598449707,True,0.7117956
v3_cluster,Ryanodine receptor,124,Bromodomain,0.2231823503971099,4,0.27597904205322266,False,Voltage-gated calcium channel,0.6584392786026001,2,0.2960354685783386,False,0.8309219
v3_cluster,Smoothened receptor (frizzled family GPCR),954,Transient receptor potential channel,0.4574219584465027,1,0.3243243098258972,True,Transient receptor potential channel,0.8174985647201538,1,0.3243243098258972,True,0.61127394
v3_cluster,Taste receptor (taste family GPCR),477,Bromodomain,0.2558960914611816,1,0.3164556920528412,True,Voltage-gated calcium channel,0.7208369970321655,4,0.27272728085517883,False,0.72631043
v3_cluster,YEATS domain,145,Voltage-gated calcium channel,0.3258610367774963,2,0.3333333432674408,False,Voltage-gated calcium channel,0.7846260666847229,2,0.3333333432674408,False,0.8036041
v4_controlled_similarity,Aspartic protease,241,Voltage-gated calcium channel,0.3590223789215088,2,0.2689075767993927,False,Voltage-gated calcium channel,0.881869912147522,2,0.2689075767993927,False,0.3415958
v4_controlled_similarity,Cysteine protease,175,Transient receptor potential channel,0.4140972793102264,1,0.30000001192092896,True,Transient receptor potential channel,0.7619803547859192,1,0.30000001192092896,True,0.56830615
v4_controlled_similarity,DNA methyltransferase,293,Protein methyltransferase,0.2380957007408142,5,0.24742268025875092,False,Protein methyltransferase,0.6961193680763245,5,0.24742268025875092,False,0.5809653
v4_controlled_similarity,Endoplasmic reticular retrotranslocon family,591,Transient receptor potential channel,0.3128858506679535,1,0.2906976640224457,True,Transient receptor potential channel,0.7436790466308594,1,0.2906976640224457,True,0.7809147
v4_controlled_similarity,GABA-A receptor,939,Voltage-gated sodium channel,0.4676440358161926,1,0.3214285671710968,True,Voltage-gated sodium channel,0.7412911653518677,1,0.3214285671710968,True,0.49152508
v4_controlled_similarity,Protein kinase regulatory subunit,224,Protein Kinase,0.3915900886058807,2,0.25581395626068115,False,Protein Kinase,0.8270471096038818,2,0.25581395626068115,False,0.717727
v4_controlled_similarity,Protein-glutamine glutamyl-transferase,471,Transient receptor potential channel,0.3553217947483063,1,0.31481480598449707,True,Transient receptor potential channel,0.7468564510345459,1,0.31481480598449707,True,0.67149
v4_controlled_similarity,Ryanodine receptor,124,Bromodomain,0.2431066483259201,4,0.27597904205322266,False,Voltage-gated calcium channel,0.6562134027481079,2,0.2960354685783386,False,0.7955807
v4_controlled_similarity,Smoothened receptor (frizzled family GPCR),954,Transient receptor potential channel,0.4573629200458526,1,0.3243243098258972,True,Transient receptor potential channel,0.8128782510757446,1,0.3243243098258972,True,0.5907051
v4_controlled_similarity,Taste receptor (taste family GPCR),477,Bromodomain,0.3097215890884399,1,0.3164556920528412,True,Voltage-gated calcium channel,0.6869728565216064,4,0.27272728085517883,False,0.68740046
v4_controlled_similarity,YEATS domain,145,Voltage-gated calcium channel,0.3841695189476013,2,0.3333333432674408,False,Voltage-gated calcium channel,0.8076050281524658,2,0.3333333432674408,False,0.6806118
